job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,required_education,industry,function,fraudulent,employment_type_Full-time,employment_type_Other,employment_type_Part-time,employment_type_Temporary,employment_type_Unknown,required_experience_Director,required_experience_Entry level,required_experience_Executive,required_experience_Internship,required_experience_Mid-Senior level,required_experience_Not Applicable,required_experience_Unknown
1,6043,2535,758,874,1527,4506,3829,4709,0,1,0,9,123,22,0,0,1,0,0,0,0,0,0,1,0,0,0
2,2183,1073,1161,874,50,7255,10527,5571,0,1,0,9,75,7,0,1,0,0,0,0,0,0,0,0,0,1,0
3,1763,1867,1241,874,1390,7470,4560,4709,0,1,0,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
4,299,1703,1054,874,975,9590,3166,3334,0,1,0,1,22,31,0,1,0,0,0,0,0,0,0,0,1,0,0
5,975,1741,1241,874,1210,5724,6495,2254,0,1,1,1,51,16,0,1,0,0,0,0,0,0,0,0,1,0,0
6,375,2084,1241,874,1380,5861,9921,4709,0,0,0,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
7,4296,216,50,296,565,14331,11201,5924,0,1,1,5,89,20,0,1,0,0,0,0,0,0,0,0,1,0,0
8,5550,1564,1241,874,125,13978,3811,1521,0,1,1,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
9,4201,1772,1241,874,1197,5445,5112,4709,0,1,1,9,58,36,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2210,1383,1241,874,930,10009,5418,4709,0,1,0,4,39,7,0,0,0,1,0,0,0,1,0,0,0,0,0
11,244,2400,1241,68,1380,7952,6106,938,0,0,0,1,58,18,0,1,0,0,0,0,0,0,0,0,1,0,0
12,10118,625,567,874,1423,11546,10377,5891,0,1,0,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
13,654,1688,1241,874,930,9773,7647,4709,0,1,0,1,72,18,0,1,0,0,0,0,0,0,0,0,0,0,0
14,4881,1763,1241,874,616,4112,9967,4709,0,1,1,10,35,23,0,1,0,0,0,0,0,0,0,0,0,1,0
15,298,38,1054,874,114,1602,11435,2794,0,1,0,1,61,31,0,1,0,0,0,0,0,0,0,0,0,0,0
16,10668,1217,1054,126,741,1056,4910,888,0,1,1,1,37,31,0,1,0,0,0,0,0,0,1,0,0,0,0
17,4263,898,5,874,184,12415,6287,4709,0,1,0,9,61,12,0,1,0,0,0,0,0,0,0,0,1,0,0
18,9663,724,1241,874,484,4812,493,1240,0,1,1,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
19,10762,2535,1241,874,752,6200,9921,4709,0,1,0,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
20,7336,2751,1241,874,1431,4245,5675,4709,0,0,0,9,123,36,0,1,0,0,0,0,0,0,0,0,0,0,1
21,5999,2834,1241,874,711,5570,4752,4709,0,1,0,9,123,22,0,0,0,0,0,1,0,0,0,0,0,0,1
22,3716,1083,1241,874,581,11912,11116,5869,0,1,0,5,24,12,0,1,0,0,0,0,0,0,0,0,1,0,0
23,3164,0,430,874,1382,10746,7906,3889,0,1,1,1,119,31,0,1,0,0,0,0,0,0,0,0,1,0,0
24,10725,1428,186,68,1409,153,4741,1177,0,1,0,10,61,31,0,1,0,0,0,0,0,0,1,0,0,0,0
25,2179,625,1241,874,1380,12005,9921,4709,0,0,0,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
26,4176,2536,1241,874,1658,5083,4649,4709,0,1,1,9,123,36,0,0,0,0,0,1,0,0,0,0,0,0,1
27,6035,1214,758,874,677,12187,9616,4925,0,1,0,9,89,22,0,1,0,0,0,0,0,0,0,0,0,0,0
28,4180,5,780,874,1525,4935,7861,3299,0,1,0,5,51,16,0,1,0,0,0,0,0,0,0,0,0,0,0
29,10114,2270,1241,874,1431,354,9921,4709,0,0,0,9,72,36,0,1,0,0,0,0,0,0,0,0,0,0,1
30,2199,166,1241,874,930,10061,5362,4709,0,1,0,4,26,1,0,1,0,0,0,0,0,1,0,0,0,0,0
31,2282,2074,1241,874,930,10885,6806,4709,0,1,0,4,22,7,0,1,0,0,0,0,0,1,0,0,0,0,0
32,9448,1986,1241,652,1380,3426,5572,3080,0,1,0,10,22,12,0,1,0,0,0,0,0,0,0,0,0,0,0
33,2082,2994,487,874,1466,2994,7786,1051,0,1,1,10,23,23,0,1,0,0,0,0,0,1,0,0,0,0,0
34,1844,1583,1241,874,1390,1100,3313,4709,0,1,1,1,88,12,0,1,0,0,0,0,0,0,0,0,0,0,1
35,4589,600,95,874,185,3592,4326,4709,0,1,1,9,75,36,0,1,0,0,0,0,0,0,0,0,0,0,1
36,3205,2565,1241,874,1507,7918,9893,4080,0,1,1,1,31,36,0,0,0,0,0,0,0,0,0,0,0,0,1
37,4080,2582,1241,874,1507,7908,9902,4080,0,1,0,1,31,36,0,0,0,0,0,0,0,0,0,0,0,0,1
38,6966,2872,1241,874,1380,14483,9921,4709,0,0,0,1,88,12,0,1,0,0,0,0,0,0,0,0,1,0,0
